username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
🇵🇰	18	5241	84654	89725	88	2	2	20440	0
Paula bell	21	4658	106	935	16	3	3	7493	0
Black Friday VPN Deals	15	42	1	22	0	21	0	29	1
Agitador Trotskista1	14	1871	3543	3475	7	1	1	17810	0
TheSundayFeeling	25	2746	386	350	11	1	1	1645	0
Serenity 🦋	14	11	618	1390	1	3	3	66	1
Total Training	17	1687	9571	7492	451	1	0	9191	1
OCTOBER	3	2117	2976	330	62	1	0	3416	0
Alexa Aveta	20	42832	1141	766	18	1	1	38825	0
Tex Iana	21	22613	173	180	0	1	1	13322	0
veracruz	23	100	2992	3155	88	1	1	61895	0
HadeerMaher	20	5025	355	214	22	1	1	6706	0
fαяιиα	2	5851	600	947	14	1	0	20011	0
Sandra Rios	20	126544	2377	509	6	1	1	185264	0
Red Green Gone	16	16297	940	3938	4	1	1	8444	0
G R A Y C E 🦃	9	4595	317	567	1	1	0	2859	0
Just keep swimming	20	2479	245	1681	4	1	1	15081	0
Susie	24	156057	8342	7321	370	2	2	85903	0
IG @snapgiorgio	17	8477	230	238	21	2	0	15633	1
Robyn Purchia	23	1552	580	1099	35	1	1	1144	0
🎵⚡️Colin Steer⚡️🎵	7	37095	1894	4998	34	1	1	62640	0
Pauline Lemmon	23	1239	5	3	1	1	1	1231	1
EL5500	20	130	366	1697	11	1	0	814	0
Kazuki🎃	5	87606	270	478	2	1	1	10405	0
🌟🇺🇸🌟✝️🌟MaleOutlook✝️🌟🇮🇱🌟	23	31147	11488	11451	5	1	1	64577	0
Madge hst enviro	21	6264	1479	4998	24	2	2	33028	0
Iconic Africa	21	399	621	1463	28	1	0	483	1
Nafiz Bayındır	24	54	29	79	2	1	1	24	1
Aliza Racelis	8	27214	888	3275	22	2	2	7338	0
Brit Boone	20	498	682	695	32	1	0	1217	0
Keith White Jr.	5	14242	54697	28661	460	1	1	21894	0
DashingClaire	23	1982	3623	3099	782	1	1	100104	0
Ally 🇳🇱❄️☃️❄️⛄❄️☃️❄️	16	42380	304	180	3	1	1	26852	0
Jessica Fox	17	694	774	10	5	1	0	1150	0
DaveyWavey	22	504	189	246	5	2	0	7352	0
James Hartman	25	10587	1297	2126	0	1	1	11258	0
ProudPatriotUSA🤖	6	54634	2340	2221	2	1	0	15966	0
C-Suite Tech Point	18	3429	891	1015	15	1	1	3599	0
Grant Sleith	23	347	53	99	0	1	0	186	1
Julia Forman	17	145	16	78	1	1	0	55	0
Helal Uddin	22	71	6	586	0	1	1	175	1
NickPlaysz-	21	348	247	84	1	1	1	1324	0
Johnluke Chaparro	19	821	955	3366	37	1	1	12477	0
ssSharsh201xxx	11	17839	1552	1964	6	1	1	4005	1
Kevin Durant’s bald spot	17	21277	1217	2547	27	4	3	50177	0
laura anne	21	67	355	4961	139	2	2	45864	0
dulal ahmed	21	0	3	0	0	3	3	4	1
SimplySuffolk	18	6128	8600	8008	34	4	4	78938	0
Cotswold Gentlemen	14	11	35	71	0	1	0	144	1
